index,rank,book,german,english,gender,german_sentence,english_sentence
3003,3003,2,entsetzlich,terrible / terribly,adj,"Ist es denn so entsetzlich für Sie, dass sich jemand um Sie sorgt?",Is it so terrible for you to know that someone cares about you?
3004,3004,2,der Retter,the savior,M,Die Welt wird in mir den Retter meines Volkes sehen.,The world will see me as the savior of my people.
3005,3005,2,die Limonade,the lemonade,F,Möchtest du ein schönes kühles Glas Limonade?,Wouldn't you like a nice cool glass of lemonade?
3006,3006,2,gebildet,cultured / produced,adj,"Gebildet zu sein heißt nicht, gelehrt oder intelligent zu sein.",Being cultured doesn't mean you are erudite or intelligent.
3007,3007,2,der Anker,the anchor,M,Um den Hals dieses Jungen liegt ein Anker und der bist du.,"There is an anchor around that boy's neck, and it is you."
3008,3008,2,paranoid,paranoid,adj,"Sag mir, dass ich paranoid oder so etwas bin.",Tell me I'm paranoid or something.
3009,3009,2,die Bestätigung,the confirmation,F,Ohne Bestätigung können Sie es nicht nutzen.,"Without this confirmation, you won't be able to use it."
3010,3010,2,infizieren,to infect,vb,Doch nicht nur so infizieren Viren Bakterien.,But that's not the only way that viruses infect bacteria.
3011,3011,2,der Sicherheitsdienst,the security,M,"Nun, die Alarme würden losgehen und du würdest vom Sicherheitsdienst weggeschleppt werden.","Well, the alarms would go off and you'd be dragged away by security."
3012,3012,2,die Diagnose,the diagnosis,F,"Manchmal sind Prävention, Diagnose und Behandlung kosteneffektiv.","Sometimes, prevention, diagnosis, and treatment are cost-effective."
3013,3013,2,der Wirt,the host / landlord,M,Wir mischen uns in die Gesellschaft und spielen den demütigen Wirt.,We will mingle with society and play the humble host.
3014,3014,2,ausführen,to implement / performing,vb,Wir müssen die getroffenen Entscheidungen ausführen.,We must implement the decisions which have been taken.
3015,3015,2,beraten,to advise / consult,vb,Ein wahrer Freund würde dich beraten.,A true friend would advise you.
3016,3016,2,nördlich,north,adv,In den Bergen nördlich von hier gibt es einen Bach.,"In the mountains north of here, there's this little stream."
3017,3017,2,lahm,lame / lamely,adj,Aber das ist kitschig und lahm.,But this is tacky and lame.
3018,3018,2,das Plastik,the plastic / sculpture,N,Man benutzt kein Plastik in diesen Dingen.,They don't use plastic in those things.
3019,3019,2,angewiesen,dependent,adj,Daher sind wir sehr auf Spenden angewiesen.,"For that reason, we are dependent on contributions."
3020,3020,2,das Picknick,the picnic,N,Mein Freund und ich machten im Park ein Picknick.,My boyfriend and I took a picnic in the park.
3021,3021,2,überraschend,surprising / surprisingly,adj,Das hier fand ich etwas überraschend.,I did find this one a bit surprising.
3022,3022,2,das Lamm,the lamb,N,Ein Wolf hat dein Lamm gestern gerissen.,A wolf killed your lamb last night.
3023,3023,2,erraten,to guess,vb,Das war nicht schwer zu erraten.,That was not too difficult to guess.
3024,3024,2,aufschreiben,to write down,vb,Du musst alle schlechten Dinge in deinem Leben aufschreiben und sie ins Feuer schmeißen.,Write down all the bad stuff you want to get rid of and throw it in the fire.
3025,3025,2,die Hintertür,the back door,F,Der Junge kam durch die Hintertür herein.,The boy entered by the back door.
3026,3026,2,verstorben,deceased,adj,Nach unseren Unterlagen ist er verstorben.,Our records indicate he's deceased.
3027,3027,2,die Tomate,the tomato,F,Ich habe die Tomaten für dich gewaschen.,I washed the tomatoes for you.
3028,3028,2,investieren,to invest,vb,Wir müssen in eine saubere und erneuerbare Energieform investieren.,"We need to invest in clean, renewable energy."
3029,3029,2,die Übertragung,the transmitting,F,Es unterstützt die Übertragung von Graustufen- und Farb-Filmen.,It supports transmitting grayscale and colored movies.
3030,3030,2,die Zeichnung,the drawing,F,Sie posierte für eine Zeichnung.,She posed for a drawing.
3031,3031,2,die Bildung,the education / formation,F,Endlich erhalten Ausbildung und Bildung eine politische Priorität.,Training and education are at last being given political priority.
3032,3032,2,Spaghetti,spaghetti,,Meine Mama macht die besten Spaghetti in der Welt.,My mom makes the best spaghetti in the world.
3033,3033,2,der Volltreffer,the bull's eye,M,Ein klares Ziel haben und einen Volltreffer landen sind zwei verschiedene Dinge.,Having a clear target and hitting the bull's eye are two very different things.
3034,3034,2,freilassen,to set free,vb,"Ich verlange, dass Sie mich freilassen.",I demand that you set me free.
3035,3035,2,quasi,practically,adv,Wir sind quasi eine Familie.,We're practically family.
3036,3036,2,einmischen,to blend into / interfere,vb,"Sie sollten sie überwachen, nicht sich einmischen.","You were told to watch them, not interfere."
3037,3037,2,das Fach,the subject / compartment,N,Geschichte war nicht mein bestes Fach.,History was never my best subject.
3038,3038,2,der Anfänger,the beginner,M,Das war sehr gut für einen Anfänger.,You did really well for a beginner.
3039,3039,2,die Geige,the violin,F,Meine Frau und ich spielten Geige im Bostoner Sinfonieorchester.,My wife and I played violin in the Boston Symphony Orchestra.
3040,3040,2,der Christ,the Christian,M,Ich bin ein guter Christ und liebe Kinder.,"I'm a good Christian, and I love children."
3041,3041,2,die Nonne,the nun,F,Du bist immer allein wie eine Nonne.,"You're always alone, like a nun."
3042,3042,2,boomen,to boom,vb,"Und das Geschäft boomt, danke.","And business is booming, thank you."
3043,3043,2,die Band,the band / ribbon / volume,F,Er wollte mit seiner Band auftreten.,He wanted to bring his band over.
3044,3044,2,die Priorität,the priority,F,Das hat die höchste Priorität.,That's our number one priority.
3045,3045,2,(he)rausschmeißen,to throw out,vb,Sie können sie nicht am ersten Tag rausschmeißen.,You can't throw them out on their first day.
3046,3046,2,die Truhe,the chest,F,Jemand muss eine Truhe für mich öffnen.,I need somebody to open a chest for me.
3047,3047,2,die Erziehung,the education / upbringing,F,"Was Erziehung betrifft, hat er eine extreme Meinung.",He holds an extreme opinion on education.
3048,3048,2,das Lagerhaus,the warehouse,N,"Es gibt ein ganzes Lagerhaus, in dem sich nur Gemälde befinden.",There's an entire warehouse with just paintings.
3049,3049,2,zuschlagen,to slam / strike,vb,"Wir müssen jetzt zuschlagen, schnell und hart.","We need to strike now, hard and fast."
3050,3050,2,verfehlt,inappropriate / missed,adj,"Das halte ich für absolut verfehlt und es entspricht überhaupt nicht den Grundsätzen, die wir in der EU haben, und dagegen wehre ich mich.","I think that is totally inappropriate and goes completely against the principles we have in the EU, and I object strongly to it."
3051,3051,2,die Wanne,the bathtub,F,"Guck mal, wie groß die Wanne ist.",See the size of this bathtub.
3052,3052,2,die Ameise,the ant,F,Jane arbeitet fleißig wie eine Ameise.,Jane works like an ant.
3053,3053,2,verletzt,injured,adj,Leider wurden am Strand sieben Menschen verletzt.,"Unfortunately, seven people were injured in the beach area."
3054,3054,2,aktivieren,to activate,vb,Standardmäßig sind Benutzerfarben beim Bearbeiten und Veröffentlichen nicht aktiviert.,"By default, user colors are not activated for editing and publishing."
3055,3055,2,stehenbleiben,to stop,vb,"Man darf jetzt nicht stehenbleiben, wir müssen weitergehen.","We cannot stop now, we must keep going."
3056,3056,2,verreisen,to travel,vb,"John ist zu jung, um allein zu verreisen.",John is too young to travel alone.
3057,3057,2,der Notruf,the distress call,M,"Wir empfangen einen Notruf, Kapitän.","We're picking up a distress call, Captain."
3058,3058,2,meinerseits,for my part,adv,Ich möchte meinerseits zwei Bemerkungen machen.,"For my part, there are two comments I would like to make."
3059,3059,2,der Herzschlag,the heartbeat,M,"Sie legte ihren Kopf auf meine Brust, um meinen Herzschlag zu hören.",She laid her head on my chest so she could listen to my heartbeat.
3060,3060,2,der Rucksack,the backpack,M,Die Sachen lagen ordentlich zusammengepackt im Rucksack.,The clothes were folded very neatly in the backpack.
3061,3061,2,hiermit,hereby,adv,Die Arbeit ist hiermit erledigt.,The work is hereby done.
3062,3062,2,der Wal,the whale,M,Ich habe noch nie einen lebenden Wal gesehen.,I've never seen a live whale.
3063,3063,2,munter,cheerful / cheerfully,adj,"Gut, euch alle heute Morgen so munter zu sehen.",Good to see everybody so cheerful this morning.
3064,3064,2,der Vorrat,the supply,M,"Ich erinnere mich, dass ich einen begrenzten Vorrat hatte.",I remember having a limited supply.
3065,3065,2,die Fälschung,the forgery,F,"Durchaus überzeugend, aber trotzdem eine Fälschung.","Credible attempt, but, nonetheless, a forgery."
3066,3066,2,reinigen,to clean,vb,Inspizieren und reinigen Sie diese regelmäßig.,Inspect and clean them on a regular basis.
3067,3067,2,das Feld,the field,N,Er arbeitet auf dem Feld.,He works in the field.
3068,3068,2,militärisch,military,adj,"Es ist für die Forschung, nicht militärisch, so denke ich.","I think it's research, not military."
3069,3069,2,hierfür,for this,adv,Die richtige Zeit hierfür ist unsere Hochzeitsnacht.,The proper time for this is our wedding night.
3070,3070,2,erstaunt,amazed / in amazement,adj,"Es ist fast wie die Illustration, bin ich erstaunt.","It almost like the illustration, I am amazed."
3071,3071,2,die Bestellung,the order,F,"Jede Bestellung wird sofort bearbeitet, sorgfältig zusammengestellt und verpackt.",Each order will be processed immediately upon receipt and is then put together and packaged with care.
3072,3072,2,der Feierabend,the quitting time,M,"Es wird Feierabend sein, bevor du damit fertig wirst.",It will be quitting time before you get that done.
3073,3073,2,prächtig,splendid / magnificently,adj,"Ich denke, er ist recht prächtig.",I think he is rather splendid.
3074,3074,2,anheuern,to hire (coll),vb,Vielleicht wollte er mich nicht wirklich anheuern.,Perhaps he didn't really want to hire me.
3075,3075,2,anderthalb,one and a half,nu,Sie haben schon anderthalb Minuten überzogen!,You have already gone one and a half minutes beyond your time.
3076,3076,2,allergisch,allergic / allergically,adj,Jane reagiert hoch allergisch auf Erdnüsse.,Jane is highly allergic to peanuts.
3077,3077,2,außerirdisch,alien,adj,Sie sehen nicht sehr außerirdisch aus.,They don't look very alien.
3078,3078,2,der Dinosaurier,the dinosaur,M,Dieser Dinosaurier ist ein wichtiges Kapital.,This dinosaur is an important asset.
3079,3079,2,(he)rauswerfen,to throw out,vb,Aber wir können nichts mehr rauswerfen.,But there's nothing else we can throw out.
3080,3080,2,erschlagen,to slay / slayed,vb,"Du glaubst, du kannst den Riesen erschlagen?",Do you believe you can slay the giant?
3081,3081,2,der Passagier,the passenger,M,Vielleicht könnten Sie mein erster Passagier sein.,Maybe you could be my first passenger.
3082,3082,2,die Sackgasse,the dead end,F,Ich bin buchstäblich in einer Sackgasse.,"I've hit a dead end, literally and figuratively."
3083,3083,2,scheitern,to fail / failure,vb,Wird er Erfolg haben oder scheitern?,Will he succeed or fail?
3084,3084,2,der Patron,the patron,M,"Er sagt, du bist sein Patron.",He says you're his patron.
3085,3085,2,quer,crosswise,adv,Der Lastwagen hielt quer in der Mitte der Straße.,The truck stopped crosswise in the middle of the road.
3086,3086,2,sichtbar,visible / visibly,adj,Bei klarem Wetter ist die estnische Küste von Helsinki aus sichtbar.,"During clear weather, the coast of Estonia is visible from Helsinki."
3087,3087,2,lähmen,to paralyze,vb,Skorpione lähmen ihre Beute mit Gift.,Scorpions paralyze their prey with a toxin.
3088,3088,2,ablenken,to distract,vb,Vielleicht können wir den Hai ja ablenken.,Maybe we can distract the shark.
3089,3089,2,anzünden,to light,vb,"Aber du kannst es für mich anzünden, John.","But you can light it for me, John."
3090,3090,2,kooperieren,to cooperate,vb,"Solange Sie kooperieren, kann er weiteratmen.","As long as you cooperate, he gets to keep on breathing."
3091,3091,2,bereithalten,to stand by,vb,Sagen Sie dem Helikopter er soll sich weiter bereithalten.,Tell the helicopter to stand by.
3092,3092,2,allmächtig,almighty / almightily,adj,"Mein Gott, du bist allmächtig.","Dear God, you are almighty."
3093,3093,2,die Routine,the routine,F,Ich entwickelte eine effiziente tägliche Routine.,I have created an efficient daily routine.
3094,3094,2,geradezu,almost,adv,"Ich meine, es war geradezu revolutionär.","I mean, it was almost revolutionary."
3095,3095,2,zurückholen,to retrieve,vb,"Jane ist die Einzige, die die Informationen zurückholen kann.",Jane is the only person that can retrieve that information.
3096,3096,2,das Exemplar,the specimen,N,Wir müssen ein lebendiges Exemplar finden.,We must find a live specimen.
3097,3097,2,der Welpe,the puppy,M,Und seit dem Moment klebte sie wie ein verlorener Welpe an dir.,"And from that moment, she was glued to you like a lost puppy."
3098,3098,2,abstellen,to park / turn off,vb,Das Fahrzeug auf ebenem Untergrund abstellen.,Park the vehicle on a flat and level surface.
3099,3099,2,das Organ,the organ,N,Mindestens eines ihrer Organe wurde entfernt.,At least one of her organs was removed.
3100,3100,2,süchtig,addicted,adj,"Du sollst wissen, ich bin süchtig nach Nasenspray.","You know, I'm addicted to nasal spray."
3101,3101,2,der Ballon,the balloon,M,Hier ist nur ein Ballon geplatzt.,It was just a balloon popping.
3102,3102,2,zumachen,to close (coll),vb,Würdest du bitte das Fenster zumachen?,Would you please close that window?
3103,3103,2,die Munition,the ammunition,F,Wir müssen Verpflegung und Munition holen.,We've got to get supplies and ammunition.
3104,3104,2,das Massaker,the massacre,N,"Ich will das Massaker rächen, aber ich erinnere mich auch daran und habe Angst.","I wish to avenge the massacre, but I remember it too well, and I'm afraid."
3105,3105,2,rauben,to rob,vb,Dann rauben wir mal ein Museum aus.,Then let's go rob a museum.
3106,3106,2,der Stier,the bull,M,In jeder Beziehung gibt es einen Stier und eine Kuh.,"In every relationship, there's a bull and a cow."
3107,3107,2,die Apotheke,the pharmacy,F,"In der Apotheke, ich holte Janes Medizin ab.","At the pharmacy, I picked up Jane's medicine."
3108,3108,2,das Laken,the sheets / linen,N,Vielleicht habe ich seidene Laken erwartet.,Maybe I expected there to be silk sheets.
